seed,regime,output,fixed_var,fixed_value,repeat,method,n_train,n_test,rmse,mae,r2
42,noise_free,Output1,X2,0.5,18,rbf,9,3,0.1863657543356585,0.13939267155579538,0.9650882195868348
42,noise_free,Output1,X2,0.5,19,rbf,9,3,0.09456385723696861,0.08115955238627263,0.9927479291957504
42,noise_free,Output1,X2,0.5,20,rbf,9,3,0.03889489986720416,0.034202353570103296,0.9988021453538211
42,noise_free,Output1,X2,0.5,21,rbf,9,3,0.18636575433563887,0.13939267155578947,0.9650882195868422
42,noise_free,Output1,X2,0.5,22,cubic,9,3,0.17884034783698544,0.17155153103661705,0.9708408876707816
42,noise_free,Output1,X2,0.5,22,rbf,9,3,0.12412721982912114,0.1035231520509315,0.9859532017859223
42,noise_free,Output1,X2,0.5,23,rbf,9,3,0.05107563240801263,0.047963228725852014,0.9983886984523745
42,noise_free,Output1,X2,0.5,24,rbf,9,3,0.18023040734388135,0.1405013846892893,0.9345503058226632
42,noise_free,Output1,X2,0.5,25,rbf,9,3,0.2425936175693198,0.1952424747970268,0.928732786486654
42,noise_free,Output1,X2,0.5,26,cubic,9,3,0.028392597672353716,0.028329101767950487,0.9944348541065754
42,noise_free,Output1,X2,0.5,26,rbf,9,3,0.04880046116568521,0.04805116092083791,0.9835595330125482
42,noise_free,Output1,X2,0.5,27,rbf,9,3,0.06658533703594678,0.05960373076537954,0.9936532166785705
42,noise_free,Output1,X2,0.5,28,rbf,9,3,0.11650645578690423,0.0921462262626614,0.995087471797326
42,noise_free,Output1,X2,0.5,29,cubic,9,3,0.03013193745500812,0.030102765893140464,0.9980414878619929
42,noise_free,Output1,X2,0.5,29,rbf,9,3,0.060062547188768814,0.05975286185495943,0.9922182075166679
